domain,hook,method,route,consumerFile,openapiStatus,classification,recommendation,kind
auth-employees,,POST,"/api/auth/logout",artifacts/piccolo-tpv/src/providers/AuthProvider.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,,POST,"/api/auth/manager-authorize",artifacts/piccolo-tpv/src/components/auth/ManagerPinModal.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,,GET,"/api/auth/me",artifacts/piccolo-tpv/src/providers/AuthProvider.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,,POST,"/api/auth/pin",artifacts/piccolo-tpv/src/providers/AuthProvider.tsx,documented,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,useGetEmployeeLoginList,GET,"/api/employees/login-list",lib/api-client-react/src/generated/api.ts,documented,manual-hook-pending-contract,contract-candidate,manual-hook
auth-employees,,GET,"/api/employees",artifacts/piccolo-tpv/src/pages/fichaje/FichajeAusencias.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,,GET,"/api/employees",artifacts/piccolo-tpv/src/pages/fichaje/FichajeCorrecciones.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,,GET,"/api/employees",artifacts/piccolo-tpv/src/pages/fichaje/FichajeCostesLaborales.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,,GET,"/api/employees",artifacts/piccolo-tpv/src/pages/fichaje/FichajeEmpleados.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,,GET,"/api/employees",artifacts/piccolo-tpv/src/pages/fichaje/FichajeInformes.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,,GET,"/api/employees",artifacts/piccolo-tpv/src/pages/fichaje/FichajePlanificacion.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,,GET,"/api/employees",artifacts/piccolo-tpv/src/pages/fichaje/FichajeRegistros.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,,GET,"/api/employees",artifacts/piccolo-tpv/src/pages/fichaje/FichajeTurnos.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,,GET,"/api/employees",artifacts/piccolo-tpv/src/pages/fichaje/FichajeVacaciones.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
auth-employees,useHealthCheck,GET,"/api/healthz",lib/api-client-react/src/generated/api.ts,documented,manual-hook-pending-contract,contract-candidate,manual-hook
backup,,POST,"/api/backup/",artifacts/piccolo-tpv/src/pages/backup/BackupPage.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
backup,,PATCH,"/api/backup/",artifacts/piccolo-tpv/src/pages/backup/BackupPage.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
backup,,DELETE,"/api/backup/",artifacts/piccolo-tpv/src/pages/backup/BackupPage.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
backup,,POST,"/api/backup/create",artifacts/piccolo-tpv/src/pages/backup/BackupPage.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
backup,,POST,"/api/backup/demo-data",artifacts/piccolo-tpv/src/pages/backup/BackupPage.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
backup,,GET,"/api/backup/list",artifacts/piccolo-tpv/src/pages/backup/BackupPage.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
backup,,DELETE,"/api/backup/schedules/",artifacts/piccolo-tpv/src/pages/backup/BackupPage.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
backup,,GET,"/api/backup/schedules",artifacts/piccolo-tpv/src/pages/backup/BackupPage.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
cash-payments,useGetCashMachineCashLevels,GET,"/api/admin/cash-machine/cash-levels",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
cash-payments,useGetCashMachineConfig,GET,"/api/admin/cash-machine/config",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
cash-payments,useGetCashMachineStatus,GET,"/api/admin/cash-machine/status",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
cash-payments,useTestCashMachineConnection,POST,"/api/admin/cash-machine/status",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
cash-payments,useUpdateCashMachineConfig,PUT,"/api/admin/cash-machine/test-connection",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
cash-payments,,GET,"/api/cash-machine/payments/",artifacts/piccolo-tpv/src/pages/payment.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
cash-payments,useGetCashMachinePayment,GET,"/api/cash-machine/payments/${id}",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
cash-payments,useStartCashMachinePayment,POST,"/api/cash-machine/payments/${id}",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
cash-payments,useCancelCashMachinePayment,POST,"/api/cash-machine/refunds",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
cash-payments,useCreateCashMachineRefund,POST,"/api/cash-sessions/${id}/cash-machine-summary",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
cash-payments,useGetCashMachineSessionSummary,GET,"/api/cash-sessions/${id}/cash-machine-summary",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
cash-payments,useAddCashMovement,POST,"/api/cash-sessions/${id}/close",lib/api-client-react/src/generated/api.ts,documented,manual-hook-pending-contract,contract-candidate,manual-hook
cash-payments,useCloseCashSession,POST,"/api/cash-sessions/${id}/summary",lib/api-client-react/src/generated/api.ts,documented,manual-hook-pending-contract,contract-candidate,manual-hook
