group,endpoint,consumer,auth,role,decision,reason
categories,GET /admin/categories,categorias.tsx, productos.tsx, qr-menu/lib.ts,JWT/cookie,admin,include,"Admin category list"
categories,POST /admin/categories,categorias.tsx, qr-menu/lib.ts,JWT/cookie,admin,include,"Create category"
categories,PUT /admin/categories/sort,categorias.tsx,JWT/cookie,admin,include,"Reorder categories"
categories,PATCH /admin/categories/{id},categorias.tsx, qr-menu/lib.ts,JWT/cookie,admin,include,"Update category"
categories,DELETE /admin/categories/{id},categorias.tsx, qr-menu/lib.ts,JWT/cookie,admin,include,"Soft-delete category"
categories,PATCH /admin/categories/{id}/translations,categorias.tsx (legacy nameEn),JWT/cookie,admin,include,"Legacy translation patch"
subcategories,POST /admin/subcategories,categorias.tsx,JWT/cookie,admin,include,"Create subcategory"
subcategories,PUT /admin/subcategories/sort,categorias.tsx,JWT/cookie,admin,include,"Reorder subcategories"
subcategories,PATCH /admin/subcategories/{id},categorias.tsx,JWT/cookie,admin,include,"Update subcategory"
subcategories,DELETE /admin/subcategories/{id},categorias.tsx,JWT/cookie,admin,include,"Delete subcategory"
products,GET /admin/products,productos.tsx, order.tsx, fiscal.tsx,JWT/cookie,admin,include,"Admin product list"
products,POST /admin/products,productos.tsx, qr-menu/lib.ts,JWT/cookie,admin,include,"Create product"
products,PUT /admin/products/sort,productos.tsx,JWT/cookie,admin,include,"Reorder products"
products,GET /admin/products/export,productos.tsx (direct),JWT/cookie,admin,include,"CSV/XLSX export"
products,POST /admin/products/import,productos.tsx (direct),JWT/cookie,admin,include,"Multipart import"
products,PATCH /admin/products/{productId},productos.tsx, qr-menu/lib.ts,JWT/cookie,admin,include,"Update product"
products,DELETE /admin/products/{productId},productos.tsx, qr-menu/lib.ts,JWT/cookie,admin,include,"Soft-delete product"
products,PUT /admin/products/{productId}/modifier-groups,productos.tsx,JWT/cookie,admin,include,"Assign modifier groups"
products,PATCH /admin/products/{id}/soldout,productos.tsx (direct api.patch),JWT/cookie,manager,admin,include,"Sold-out toggle"
products,PATCH /admin/products/{id}/translations,productos.tsx (legacy),JWT/cookie,manager,admin,include,"Legacy translation patch"
formats,GET /products/{productId}/formats,order.tsx,JWT/cookie,authenticated,include,"Staff format list (merged path)"
formats,POST /products/{productId}/formats,productos.tsx,JWT/cookie,admin,include,"Create format"
formats,PATCH /products/formats/{formatId},productos.tsx,JWT/cookie,admin,include,"Update format"
formats,DELETE /products/formats/{formatId},productos.tsx,JWT/cookie,admin,include,"Archive format"
availability,GET /admin/product-availability-rules,productos.tsx (indirect),JWT/cookie,admin,include,"Availability rules CRUD"
availability,POST /admin/product-availability-rules,productos.tsx (indirect),JWT/cookie,admin,include,"Create rule"
availability,PATCH /admin/product-availability-rules/{id},productos.tsx (indirect),JWT/cookie,admin,include,"Update rule"
availability,DELETE /admin/product-availability-rules/{id},productos.tsx (indirect),JWT/cookie,admin,include,"Delete rule"
modifiers,GET /admin/modifier-groups,modificadores.tsx, productos.tsx,JWT/cookie,admin,include,"List groups"
modifiers,POST /admin/modifier-groups,modificadores.tsx,JWT/cookie,admin,include,"Create group"
modifiers,PATCH /admin/modifier-groups/{id},modificadores.tsx,JWT/cookie,admin,include,"Update group"
modifiers,DELETE /admin/modifier-groups/{id},modificadores.tsx,JWT/cookie,admin,include,"Delete group"
modifiers,POST /admin/modifier-groups/{id}/modifiers,modificadores.tsx,JWT/cookie,admin,include,"Create modifier option"
modifiers,PATCH /admin/modifiers/{id},modificadores.tsx,JWT/cookie,admin,include,"Update modifier"
modifiers,DELETE /admin/modifiers/{id},modificadores.tsx,JWT/cookie,admin,include,"Delete modifier"
modifiers,GET /products/{productId}/modifiers,order.tsx,JWT/cookie,authenticated,include,"Staff modifier read (merged path)"
allergens,GET /admin/allergens,productos.tsx,JWT/cookie,admin,include,"EU allergen catalog"
allergens,GET /admin/allergens/{code},productos.tsx,JWT/cookie,admin,include,"Single allergen"
allergens,GET /admin/products/{id}/allergens,productos.tsx (direct api.get),JWT/cookie,admin,include,"Product allergen cache"
allergens,POST /admin/products/{id}/allergens/recalculate,productos.tsx (direct api.post),JWT/cookie,manager,admin,include,"Recalculate from recipe"
allergens,POST /admin/products/{id}/allergens/override,productos.tsx (direct),JWT/cookie,admin,include,"Manual override"
allergens,DELETE /admin/products/{id}/allergens/override/{code},productos.tsx (direct),JWT/cookie,admin,include,"Remove override"
staff-read,GET /categories,order.tsx,JWT/cookie,authenticated,include,"TPV category list (merged path)"
staff-read,GET /categories/{categoryId}/products,order.tsx,JWT/cookie,authenticated,include,"TPV products (merged path)"
staff-read,GET /products,delivery.tsx (search),JWT/cookie,authenticated,include,"Product search"
recipes,GET /admin/products/{productId}/recipe,productos.tsx (useGetProductRecipe),JWT/cookie,admin,exclude,"Recipe domain — Entrega futura"
ingredients,GET /admin/ingredients,recetas domain,JWT/cookie,admin,exclude,"Ingredient/stock domain"
qr-public,GET /qr-menu/public/*,QR carta pública,public,none,exclude,"QR public menu — fuera de alcance"
tags,CRUD /admin/tags,none,n/a,n/a,exclude,"Etiquetas dietéticas son columnas boolean en products"
menus,CRUD combos/menus,none,n/a,n/a,exclude,"No implementado en backend"
