decision,method,path,router,operationId,authentication,rbac,idempotency,providerStatus,responses,consumerMigration,reason
"exclude","GET","/director/cash","director.ts","","","","","","","not-applicable","Director financial reporting excluded"
"exclude","POST","/offline/sync cash_payment","offline.ts","","","","","","","not-applicable","Acknowledgement-only stub; no payment is persisted"
"exclude","ALL","/online-orders legacy","online-orders.ts","","","","","","","not-applicable","Legacy/sentinel routes"
"exclude","POST","/online-orders/{id}/payment-simulate","online-orders.ts","","","","","","","not-applicable","Explicit simulation already owned by Delivery"
"exclude","POST","/public/payment/intent","online-orders-v2.ts","","","","","","","not-applicable","Public online provider flow outside in-store Cash & Payments"
"exclude","POST","/public/payment/webhook","online-orders-v2.ts","","","","","","","not-applicable","Public online provider flow outside in-store Cash & Payments"
"exclude","GET","/reports/by-product","reports.ts","","","","","","","not-applicable","Product sales analytics excluded"
"exclude","GET","/reports/by-waiter","reports.ts","","","","","","","not-applicable","Staff performance analytics excluded"
"exclude","GET","/reports/by-zone","reports.ts","","","","","","","not-applicable","Sales analytics by room zone excluded"
"exclude","GET","/reports/export/excel","reports.ts","","","","","","","not-applicable","Cross-domain financial report export excluded"
"exclude","GET","/reports/peak-hours","reports.ts","","","","","","","not-applicable","General sales analytics excluded"
"exclude","GET","/reports/sales-trend","reports.ts","","","","","","","not-applicable","General sales analytics outside operational payments"
"exclude","GET","/reports/summary","reports.ts","","","","","","","not-applicable","General financial KPI report"
"exclude","GET","/reports/top-products","reports.ts","","","","","","","not-applicable","Product sales analytics excluded"
"exclude","GET","/reports/vat","reports.ts","","","","","","","not-applicable","Fiscal reporting excluded"
"exclude","ALL","/reports/voids","reports.ts","","","","","","","not-applicable","Mixed discounts and payment void report; payment void command is contracted separately"
"exclude","ALL","Delivery settlements","delivery routes","","","","","","","not-applicable","Delivery domain exclusion"
"exclude","ALL","payment-method CRUD","none","","","","","","","not-applicable","No active runtime endpoint exists; methods are seeded"
"exclude","ALL","real cash-machine hardware","cash-machine/registry.ts","","","","","simulator-only-fail-closed","","not-applicable","No production hardware adapter is implemented; simulator fails closed in production"
"exclude","ALL","Reservations/deposits","reservations routes","","","","","","","not-applicable","Reservations domain exclusion"
"exclude","ALL","Verifactu/invoices/documents","fiscal/document routes","","","","","","","not-applicable","Fiscal and Documents domains excluded"
"exclude","ALL","Wallet/Gift Cards","wallet routes","","","","","","","not-applicable","Already contracted by Wallet domain"
"include","GET","/admin/cash-machine/cash-levels","cash-machine.ts","getCashPaymentsMachineCashLevels","bearer-or-cookie","manager|admin","none","simulator-only-fail-closed-in-production","200|401|403|503","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/admin/cash-machine/config","cash-machine.ts","getCashPaymentsMachineConfig","bearer-or-cookie","admin","none","not-applicable","200|401|403","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","PUT","/admin/cash-machine/config","cash-machine.ts","upsertCashPaymentsMachineConfig","bearer-or-cookie","admin","none","simulator-only-fail-closed-in-production","200|201|401|403|503","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/admin/cash-machine/status","cash-machine.ts","getCashPaymentsMachineStatus","bearer-or-cookie","manager|admin","none","simulator-only-fail-closed-in-production","200|401|403|503","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/admin/cash-machine/test-connection","cash-machine.ts","testCashPaymentsMachineConnection","bearer-or-cookie","admin","none","simulator-only-fail-closed-in-production","200|401|403|503","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/cash-machine/payments","cash-machine.ts","startCashPaymentsMachinePayment","bearer-or-cookie","waiter|cashier|encargado|manager|admin","required","simulator-only-fail-closed-in-production","201|202|400|401|403|404|409|503","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/cash-machine/payments/{id}","cash-machine.ts","getCashPaymentsMachinePayment","bearer-or-cookie","waiter|cashier|encargado|manager|admin","none","simulator-only-fail-closed-in-production","200|202|400|401|403|404","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/cash-machine/payments/{id}/cancel","cash-machine.ts","cancelCashPaymentsMachinePayment","bearer-or-cookie","waiter|cashier|encargado|manager|admin","none","simulator-only-fail-closed-in-production","200|202|401|403|404|409","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/cash-machine/payments/{id}/reconcile","cash-machine.ts","reconcileCashPaymentsMachinePayment","bearer-or-cookie","manager|admin","none","simulator-only-fail-closed-in-production","200|202|401|403|404|409|422","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/cash-machine/refunds","cash-machine.ts","createCashPaymentsMachineRefund","bearer-or-cookie","manager|admin","required","simulator-only-fail-closed-in-production","201|202|400|401|403|409|422|503","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/cash-machine/transactions","cash-machine.ts","listCashPaymentsMachineTransactions","bearer-or-cookie","manager|admin","none","not-applicable","200|401|403","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/cash-sessions/{id}/cash-machine-summary","cash-machine.ts","getCashPaymentsMachineSessionSummary","bearer-or-cookie","manager|admin","none","not-applicable","200|401|403|404","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/cash-sessions/{id}/close","cash.ts","closeCashPaymentsSession","bearer-or-cookie","manager|admin","optional","not-applicable","200|400|401|403|404|422|503","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/cash-sessions/{id}/movements","cash.ts","createCashPaymentMovement","bearer-or-cookie","manager|admin","none","not-applicable","201|400|401|403|404","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/cash-sessions/{id}/reopen","cash.ts","reopenCashPaymentsSession","bearer-or-cookie","admin","none","not-applicable","200|401|403|404|409","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/cash-sessions/{id}/report","cash.ts","getCashPaymentsSessionReport","bearer-or-cookie","manager|admin","none","not-applicable","200|401|403|404","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/cash-sessions/{id}/summary","cash.ts","getCashPaymentsSessionSummary","bearer-or-cookie","manager|admin","none","not-applicable","200|401|403|404","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/cash-sessions/{id}/void-payment","cash.ts","voidCashSessionPayment","bearer-or-cookie","admin","none","not-applicable","201|400|401|403|404|409","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/cash-sessions/{id}/x-report","cash.ts","getCashPaymentsSessionXReport","bearer-or-cookie","manager|admin","none","not-applicable","200|401|403|404","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/cash-sessions/current","cash.ts","getCurrentCashPaymentsSession","bearer-or-cookie","authenticated","none","not-applicable","200|401","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/cash-sessions/history","cash.ts","listCashPaymentsSessionHistory","bearer-or-cookie","manager|admin","none","not-applicable","200|401|403","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/cash-sessions/open","cash.ts","openCashPaymentsSession","bearer-or-cookie","manager|admin","none","not-applicable","201|401|403|409","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/orders/{id}/splits","splits.ts","listOrderCashPaymentSplits","bearer-or-cookie","authenticated","none","not-applicable","200|401","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/orders/{id}/splits","splits.ts","createOrderCashPaymentSplits","bearer-or-cookie","authenticated","none","not-applicable","201|400|401|404|409","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","PUT","/orders/{id}/splits/{groupId}/pay","splits.ts","markOrderCashPaymentSplitPaid","bearer-or-cookie","authenticated","none","not-applicable","200|401|404","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/orders/{id}/tips","tips.ts","listOrderCashPaymentTips","bearer-or-cookie","authenticated","none","not-applicable","200|401","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/orders/{orderId}/payment-summary","payments.ts","getOrderCashPaymentSummary","bearer-or-cookie","authenticated","none","not-applicable","200|401|404","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/orders/{orderId}/payments","payments.ts","createOrderCashPayment","bearer-or-cookie","waiter|cashier|encargado|manager|admin","optional","not-applicable","200|201|400|401|403|404|409|429|503","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/orders/{orderId}/ticket","payments.ts","getOrderCashPaymentTicket","bearer-or-cookie","authenticated","none","not-applicable","200|401|404","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/payment-methods","cash.ts","listCashPaymentMethods","bearer-or-cookie","authenticated","none","not-applicable","200|401","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","POST","/payments/{id}/tip","tips.ts","createCashPaymentTip","bearer-or-cookie","authenticated","none","not-applicable","201|400|401|404","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/reports/cash","reports.ts","getCashPaymentsSessionReportList","bearer-or-cookie","manager|admin","none","not-applicable","200|401|403","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
"include","GET","/reports/payments","reports.ts","getCashPaymentsMethodReport","bearer-or-cookie","manager|admin","none","not-applicable","200|401|403","deferred-to-entrega-62","active runtime operation in phase61-cash-payments scope"
